Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,notes,treatment,uniqueID
18,white,Ferris,10.41,,,2017-10-04,2017-09-24,3,Haw,7000,9:23:45,7.28E-02,10.092,,7:39:02,5.81E-02,,,,
19,white,Ferris,12.31,,,2017-10-04,2017-09-24,3,Haw,7000,9:25:02,0.1323637,11.272,,7:40:19,0.1325949,,,,
20,white,Ferris,7.404,,,2017-10-04,2017-09-24,3,Haw,7000,9:26:40,0.6311412,5.369,,7:41:42,0.3580089,,,,
21,white,Ferris,8.332,,,2017-10-04,2017-09-24,3,Haw,7000,9:28:05,5.46E-02,7.998,,7:43:13,6.54E-02,,,,
22,white,Ferris,10.156,,,2017-10-04,2017-09-24,3,Haw,7000,9:29:18,8.25E-02,9.49,,7:44:23,5.68E-02,,,,
23,white,Ferris,7.56,,,2017-10-04,2017-09-24,3,Haw,7000,9:30:48,9.72E-02,7.433,,7:45:48,0.1101191,,,,
24,white,Ferris,8.425,,,2017-10-04,2017-09-24,3,Haw,7000,9:32:28,0.1586375,8.051,,7:47:17,7.70E-02,,,,
25,white,Ferris,7.491,,,2017-10-04,2017-09-24,3,Haw,7000,9:34:04,0.1278368,6.736,,7:48:28,0.1871603,,,,
26,white,Ferris,8.639,,,2017-10-04,2017-09-24,3,Haw,7000,9:35:32,0.1339689,8.255,,7:49:37,9.03E-02,,,,
27,white,Ferris,,,,2017-10-04,2017-09-24,3,Haw,7000,9:36:57,9.60E-03,,,7:50:43,1.10E-02,,,,
28,white,Ferris,,12:05,,2017-10-04,2017-09-24,3,Haw,7000,9:38:20,1.19E-02,,10:49,7:51:38,1.39E-02,,,,
1,orange,Ferris,9.068,11:42,,2017-10-04,2017-09-24,3,Haw,6262,8:59:59,0.2004576,8.388,10:34,7:16:08,9.58E-02,,,,
2,orange,Ferris,6.225,,,2017-10-04,2017-09-24,3,Haw,6262,9:01:28,0.172143,5.816,,7:17:26,0.1112605,,,,
3,orange,Ferris,9.099,,,2017-10-04,2017-09-24,3,Haw,6262,9:02:51,0.218637,8.613,,7:18:47,0.1718394,,,,
4,orange,Ferris,8.629,,,2017-10-04,2017-09-24,3,Haw,6262,9:04:14,0.1956931,8.143,,7:20:09,0.1149418,,,,
5,orange,Ferris,8.461,,,2017-10-04,2017-09-24,3,Haw,6262,9:05:27,1.212497,7.744,,7:21:26,1.091989,,,,
6,orange,Ferris,12.64,,,2017-10-04,2017-09-24,3,Haw,6262,9:06:53,0.3282457,11.478,,7:23:00,0.1355299,,,,
7,orange,Ferris,7.553,,,2017-10-04,2017-09-24,3,Haw,6262,9:08:20,0.1429607,7.068,,7:24:12,9.28E-02,,,,
8,orange,Ferris,8.063,,,2017-10-04,2017-09-24,3,Haw,6262,9:09:35,1.523207,2.944,,7:25:22,3.55E-02,,,,
9,orange,Ferris,11.889,,,2017-10-04,2017-09-24,3,Haw,6262,9:11:04,0.2905945,10.926,,7:26:28,0.1019877,,,,
10,orange,Ferris,7.513,,,2017-10-04,2017-09-24,3,Haw,6262,9:12:34,0.144925,7.14,,7:27:52,0.1611824,,,,
11,orange,Ferris,9.561,,,2017-10-04,2017-09-24,3,Haw,6262,9:13:51,1.72217,7.603,,7:29:10,1.492878,,,,
12,orange,Ferris,11.815,,,2017-10-04,2017-09-24,3,Haw,6262,9:15:21,0.1913839,11.216,,7:30:41,0.19176,,,,
13,orange,Ferris,11.58,,,2017-10-04,2017-09-24,3,Haw,6262,9:16:44,0.2601633,11.037,,7:32:11,0.2482504,,,,
