Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,notes,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_position,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2
10,red,OG,7.416,13:13,2017-09-04,2017-08-25,2,Apple,7000,10:27:14,1.227601,5.142,,10:27:35,0.2679829,,,2r10,,,,,,,,,
11,red,Ferris,10.783,13:13,2017-09-04,2017-08-25,2,Apple,7000,10:28:45,0.1395353,9.778,,10:28:53,9.32E-02,,,2r11,,,,,,,,,
12,red,OG,8.69,13:07,2017-09-04,2017-08-25,2,Apple,7000,10:30:30,0.6957083,7.808,,10:30:09,0.6850266,,,2r12,,,,,,,,,
13,red,Ferris,6.265,13:14,2017-09-04,2017-08-25,2,Apple,7000,10:32:10,2.85E-02,5.615,,10:31:42,1.54E-02,,,2r13,,,,,,,,,
14,red,Ferris,9.264,13:15,2017-09-04,2017-08-25,2,Apple,7000,10:33:40,0.7573033,8.325,,10:32:53,0.7453037,,,2r14,,,,,,,,,
15,red,OG,6.767,13:05,2017-09-04,2017-08-25,2,Apple,7000,10:35:22,0.1351661,6.099,,10:34:13,7.33E-02,,,2r15,,,,,,,,,
16,red,Ferris,10.024,13:08,2017-09-04,2017-08-25,2,Apple,7000,10:37:13,0.620687,3.543,,10:35:27,0.0121153,,"looks unhealthy, large weight decrease",2r16,,,,,,,,,
17,red,OG,9.136,13:07,2017-09-04,2017-08-25,2,Apple,7000,10:39:06,6.68E-02,8.394,,10:36:50,5.52E-02,,,2r17,,,,,,,,,
18,red,OG,4.34,13:37,2017-09-04,2017-08-25,2,Apple,7000,10:40:45,5.75E-02,3.993,,10:38:09,6.43E-02,,,2r18,,,,,,,,,
19,red,Ferris,7.72,13:16,2017-09-04,2017-08-25,2,Apple,7000,10:42:26,0.1183399,6.988,,10:39:32,6.61E-02,,,2r19,,,,,,,,,
22,red,OG,8.615,13:18,2017-09-04,2017-08-25,2,Apple,7000,10:43:58,0.0957594,7.992,,10:41:16,4.26E-02,,,2r22,,,,,,,,,
23,red,OG,6.954,12:58,2017-09-04,2017-08-25,2,Apple,7000,10:45:43,0.1284057,6.308,,10:42:34,0.1327587,,,2r23,,,,,,,,,
24,red,OG,8.167,12:57,2017-09-04,2017-08-25,2,Apple,7000,10:47:22,0.1130436,7.408,,10:44:12,0.0634311,,,2r24,,,,,,,,,
25,red,OG,9.759,13:21,2017-09-04,2017-08-25,2,Apple,7000,10:48:50,0.1624387,8.974,,10:45:36,8.44E-02,,,2r25,,,,,,,,,
26,red,Milford,12.097,13:17,2017-09-04,2017-08-25,2,Haw,7000,10:50:26,0.148969,10.479,,10:47:14,7.26E-02,,,2r26,,,,,,,,,
27,red,OG,7.849,13:58,2017-09-04,2017-08-25,2,Apple,7000,10:52:09,0.0835773,6.989,,10:49:15,6.30E-02,,,2r27,,,,,,,,,
28,red,Ferris,7.747,13:18,2017-09-04,2017-08-25,2,Apple,7000,10:53:43,8.07E-02,7.028,,10:51:07,0.0712966,,,2r28,,,,,,,,,
29,red,OG,8.172,12:56,2017-09-04,2017-08-25,2,Apple,7000,10:55:05,0.1302926,7.598,,10:52:44,8.53E-02,,,2r29,,,,,,,,,
30,red,OG,5.043,13:04,2017-09-04,2017-08-25,2,Apple,7000,10:56:34,0.4231303,3.879,,10:54:19,0.1401057,,,2r30,,,,,,,,,
31,red,Ferris,12.058,13:19,2017-09-04,2017-08-25,2,Apple,7000,10:58:05,0.7524838,4.636,,10:55:49,1.65E-02,,,2r31,,,,,,,,,
