Host,Sample,N,tape,licor,cohort_day,cohort_date,day_weight,day_resp,weight,Respiration,Respiration_time,Purge_time
Apple,e,20,red,7000,11,9/10/18,7,8,5.118,3.09E-02,10:17:55,
Apple,e,21,red,7000,11,9/10/18,7,8,7.238,0.1668479,10:19:27,
Apple,e,22,red,7000,11,9/10/18,7,8,8.084,1.989319,10:20:44,
Apple,e,23,red,7000,11,9/10/18,7,8,8.757,0.1881793,10:22:34,
Apple,e,24,red,7000,11,9/10/18,7,8,5.292,0.4776816,10:24:27,
Apple,e,25,red,7000,11,9/10/18,7,8,9.476,0.2538836,10:25:53,
Apple,b,26,red,7000,11,9/10/18,7,8,,5.20E-03,10:27:32,
Apple,b,27,red,7000,11,9/10/18,7,8,,7.12E-03,10:28:42,13:34
Apple,e,1,orange,6262,11,9/10/18,7,8,4.207,0.7359459,9:50:27,13:34
Apple,e,2,orange,6262,11,9/10/18,7,8,5.672,0.1950478,9:51:53,
Apple,e,3,orange,6262,11,9/10/18,7,8,6.656,0.2198711,9:53:27,
Apple,e,4,orange,6262,11,9/10/18,7,8,5.257,0.2360749,9:54:41,
Apple,e,5,orange,6262,11,9/10/18,7,8,4.11,0.183814,9:56:01,
Apple,e,6,orange,6262,11,9/10/18,7,8,7.573,0.2583511,9:57:21,
Apple,e,7,orange,6262,11,9/10/18,7,8,5.498,0.2188384,9:58:38,
Apple,e,8,orange,6262,11,9/10/18,7,8,5.333,1.399708,9:59:54,
Apple,e,9,orange,6262,11,9/10/18,7,8,7.538,0.288278,10:01:35,
Apple,e,10,orange,6262,11,9/10/18,7,8,5.314,0.4811854,10:02:58,
Apple,e,11,orange,6262,11,9/10/18,7,8,5.577,0.6774819,10:04:27,
Apple,e,12,orange,6262,11,9/10/18,7,8,8.152,0.3881219,10:05:54,
Apple,e,13,orange,6262,11,9/10/18,7,8,6.449,1.632914,10:07:20,
Apple,e,14,orange,6262,11,9/10/18,7,8,6.303,1.109239,10:08:58,
Apple,e,15,orange,6262,11,9/10/18,7,8,8.203,0.2315973,10:10:34,
Apple,e,16,orange,6262,11,9/10/18,7,8,6.109,0.2023764,10:11:59,
Apple,e,17,orange,6262,11,9/10/18,7,8,6.304,0.9198974,10:13:20,
Apple,e,18,orange,6262,11,9/10/18,7,8,5.849,0.2730523,10:14:57,
Apple,e,19,orange,6262,11,9/10/18,7,8,5.116,2.163821,10:16:17,
Apple,e,20,orange,6262,11,9/10/18,7,8,4.235,0.1688938,10:17:55,
Apple,e,21,orange,6262,11,9/10/18,7,8,4.117,0.1406567,10:19:27,
Apple,e,22,orange,6262,11,9/10/18,7,8,5.543,0.2649123,10:20:44,
Apple,e,23,orange,6262,11,9/10/18,7,8,6.284,0.2835508,10:22:34,
Apple,e,24,orange,6262,11,9/10/18,7,8,7.894,0.3021506,10:24:27,
Apple,e,25,orange,6262,11,9/10/18,7,8,3.735,1.531627,10:25:53,
Apple,b,26,orange,6262,11,9/10/18,7,8,,1.99E-03,10:27:32,
Apple,b,27,orange,6262,11,9/10/18,7,8,,0.0157656,10:28:42,13:40
Apple,e,1,red,7000,18,9/3/18,19,20,5.493,2.18E-02,11:06:43,10:49
Apple,e,2,red,7000,18,9/3/18,19,20,7.731,0.5722196,11:08:05,
Apple,e,3,red,7000,18,9/3/18,19,20,2.639,0.5638341,11:09:42,
Apple,e,4,red,7000,18,9/3/18,19,20,4.395,0.1211013,11:11:19,
Apple,e,5,red,7000,18,9/3/18,19,20,10.275,6.05E-02,11:13:26,
Apple,e,6,red,7000,18,9/3/18,19,20,3.284,0.7440517,11:15:11,
