Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,treatment_day15 ,exit_fridge_date,Eclosion_reference_date,notes,Resp_code,treatment,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3,Adult_death_date,Uncaused_death
1,red,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-F4,,,F4,,,,,,,,,,,,,,,,
2,red,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-D9,,,D9,,,,,,,,,,,,,,,,
3,red,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-H8,,,H8,,,,,,,,,,,,,,,,
4,red,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-H12,,,H12,,,,,,,,,,,,,,,,
5,red,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-B10,,,B10,,,,,,,,,,,,,,,,
6,red,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-D3,,,D3,,,,,,,,,,,,,,,,
7,red,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-E6,,,E6,,,,,,,,,,,,,,,,
8,red,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-F1,,,F1,,,,,,,,,,,,,,,,
9,red,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-F11,,,F11,,,,,,,,,,,,,,,,
10,red,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-G9,,,G9,,,,,,,,,,,,,,,,
11,red,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-D6,,,D6,,,,,,,,,,,,,,,,
12,red,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-C4,,,C4,,,,,,,,,,,,,,,,
13,red,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-D12,,,D12,,,,,,,,,,,,,,,,
14,red,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-B5,,,B5,,,,,,,,,,,,,,,,
15,red,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-A7,,,A7,,,,,,,,,,,,,,,,
16,red,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-H3,,,H3,,,,,,,,,,,,,,,,
17,red,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-A8,,,A8,,,,,,,,,,,,,,,,
18,red,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-E9,,,E9,,,,,,,,,,,,,,,,
19,red,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-C6,,,C6,,,,,,,,,,,,,,,,
20,red,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-B1,,,B1,,,,,,,,,,,,,,,,
21,red,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-D8,,,D8,,,,,,,,,,,,,,,,
22,red,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-F7,,,F7,,,,,,,,,,,,,,,,
23,red,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-D2,,,D2,,,,,,,,,,,,,,,,
24,red,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-B8,,,B8,,,,,,,,,,,,,,,,
25,red,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-H10,,,H10,,,,,,,,,,,,,,,,
26,red,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-E12,,,E12,,,,,,,,,,,,,,,,
27,red,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-C9,,,C9,,,,,,,,,,,,,,,,
28,red,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-B7,,,B7,,,,,,,,,,,,,,,,
29,red,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-E2,,,E2,,,,,,,,,,,,,,,,
30,red,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,SO,A6SO-E3,,,E3,,,,,,,,,,,,,,,,
1,white,OG,9.966,16:49,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:18:09,0.1970401,,,,,,2018-09-10,,,,,Simulated Overwintering,h11w1_18,,,A2,,,,,,,,,,,,,,,,
2,white,OG,9.912,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:19:13,0.1333659,,,,,,2018-09-10,,,,,genetic control,h11w2_18,,,,,,,,,,,,,,,,,,,
3,white,OG,6.542,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:20:28,0.7448993,,,,,,2018-09-10,,,,,genetic control,h11w3_18,,,,,,,,,,,,,,,,,,,
4,white,Ferris,9.175,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:21:44,0.8528716,,,,,,2018-09-10,,,,,Simulated Overwintering,h11w4_18,,,D5,,,,,,,,,,,,,,,,
5,white,Ferris,6.368,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:23:07,0.1378871,,,,,,2018-09-10,,,,,Simulated Overwintering,h11w5_18,,,B11,,,,,,,,,,,,,,,,
6,white,OG,11.004,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:24:33,0.2489103,,,,,,2018-09-10,,,,,genetic control,h11w6_18,,,,,,,,,,,,,,,,,,,
7,white,OG,7.3,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:25:43,0.3853647,,,,,,2018-09-10,,,,,Simulated Overwintering,h11w7_18,,,H8,,,,,,,,,,,,,,,,
8,white,Ferris,10.097,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:26:49,1.25784,,,,,,2018-09-10,,,,,Simulated Overwintering,h11w8_18,,,F4,,,,,,,,,,,,,,,,
9,white,Ferris,8.203,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:28:06,0.1002569,,,,,,2018-09-10,,,,,RT eclosion,h11w9_18,,,F12,,,,,,,,,,,,,,,,
10,white,Ferris,9.542,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:29:08,1.19463,,,,,,2018-09-10,,,,,RT eclosion,h11w10_18,,,C6,,,,,,,,,,,,,,,,
11,white,OG,7.239,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:30:28,1.269043,,,,,,2018-09-10,,,,,genetic control,h11w11_18,,,,,,,,,,,,,,,,,,,
12,white,OG,11.362,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:31:44,1.492949,,,,,,2018-09-10,,,,,RT eclosion,h11w12_18,,,A4,,,,,,,,,,,,,,,,
13,white,Ferris,6.62,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:33:05,0.1491773,,,,,,2018-09-10,,,,,RT eclosion,h11w13_18,,,H12,,,,,,,,,,,,,,,,
14,white,Ferris,6.413,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:34:06,0.1464047,,,,,,2018-09-10,,,,,Simulated Overwintering,h11w14_18,,,A12,,,,,,,,,,,,,,,,
15,white,OG,4.715,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:35:18,0.615582,,,,,,2018-09-10,,,,,Simulated Overwintering,h11w15_18,,,G4,,,,,,,,,,,,,,,,
16,white,Ferris,11,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:36:26,0.2616211,,,,,,2018-09-10,,,,,RT eclosion,h11w16_18,,,G3,,,,,,,,,,,,,,,,
17,white,OG,12.013,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:37:27,0.2566137,,,,,,2018-09-10,,,,,genetic control,h11w17_18,,,,,,,,,,,,,,,,,,,
18,white,Ferris,8.204,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:38:28,0.1296766,,,,,,2018-09-10,,,,,RT eclosion,h11w18_18,,,D2,,,,,,,,,,,,,,,,
19,white,Ferris,6.753,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:39:28,0.8902243,,,,,,2018-09-10,,,,,genetic control,h11w19_18,,,,,,,,,,,,,,,,,,,
20,white,OG,6.227,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:40:42,0.7083347,,,,,,2018-09-10,,,,,Simulated Overwintering,h11w20_18,,,H1,,,,,,,,,,,,,,,,
21,white,OG,5.76,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:41:59,0.1138883,,,,,,2018-09-10,,,,,Simulated Overwintering,h11w21_18,,,D7,,,,,,,,,,,,,,,,
22,white,OG,5.778,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:43:11,0.6530359,,,,,,2018-09-10,,,,,genetic control,h11w22_18,,,,,,,,,,,,,,,,,,,
23,white,Ferris,5.853,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:44:16,0.1539176,,,,,,2018-09-10,,,,,Simulated Overwintering,h11w23_18,,,B6,,,,,,,,,,,,,,,,
24,white,OG,9.706,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:45:28,0.1257113,,,,,,2018-09-10,,,,,genetic control,h11w24_18,,,,,,,,,,,,,,,,,,,
25,white,Ferris,9.57,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:46:30,0.3096526,,,,,,2018-09-10,,,,,Simulated Overwintering,h11w25_18,,,C10,,,,,,,,,,,,,,,,
26,white,Ferris,7.004,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:47:34,0.1730384,,,,,,2018-09-10,,,,,genetic control,h11w26_18,,,,,,,,,,,,,,,,,,,
27,white,Ferris,6.43,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:48:36,0.8178748,,,,,,2018-09-10,,,,,genetic control,h11w27_18,,,,,,,,,,,,,,,,,,,
28,white,OG,10.427,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:49:52,1.138796,,,,,,2018-09-10,,,,,RT eclosion,h11w28_18,,,F4,,,,,,,,,,,,,,,,
29,white,Ferris,8.069,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:51:06,0.3096876,,,,,,2018-09-10,,,,,Simulated Overwintering,h11w29_18,,,E7,,,,,,,,,,,,,,,,
30,white,OG,6.652,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:52:09,1.482758,,,,,,2018-09-10,,,,,genetic control,h11w30_18,,,,,,,,,,,,,,,,,,,
31,white,Ferris,7.739,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:53:22,0.9280274,,,,,,2018-09-10,,,,,RT eclosion,h11w31_18,,,C4,,,,,,,,,,,,,,,,
32,white,OG,7.174,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:54:36,7.11E-02,,,,,,2018-09-10,,,,,genetic control,h11w32_18,,,,,,,,,,,,,,,,,,,
33,white,OG,8.402,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:55:54,0.1274011,,,,,,2018-09-10,,,,,genetic control,h11w33_18,,,,,,,,,,,,,,,,,,,
34,white,Ferris,6.335,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:56:54,0.9831486,,,,,,2018-09-10,,,,,Simulated Overwintering,h11w34_18,,,D9,,,,,,,,,,,,,,,,
35,white,OG,7.691,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,11:58:11,1.047761,,,,,,2018-09-10,,,,,RT eclosion,h11w35_18,,,F3,,,,,,,,,,,,,,,,
36,white,Ferris,6.856,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,12:20:59,0.109638,,,,,,2018-09-10,,,,,genetic control,h11w36_18,,,,,,,,,,,,,,,,,,,
37,white,OG,9.644,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,12:22:15,1.434551,,,,,,2018-09-10,,,,,RT eclosion,h11w37_18,,,A12,,,,,,,,,,,,,,,,
38,white,OG,10.043,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,12:23:37,1.232341,,,,,,2018-09-10,,,,,RT eclosion,h11w38_18,,,H11,,,,,,,,,,,,,,,,
39,white,Ferris,4.011,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,12:24:53,3.233407,,,,,,2018-09-10,,,,,RT eclosion,h11w39_18,,,H2,,,,,,,,,,,,,,,,
40,white,Ferris,5.264,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,12:26:23,0.1373938,,,,,,2018-09-10,,,,,genetic control,h11w40_18,,,,,,,,,,,,,,,,,,,
41,white,Ferris,4.729,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,12:27:25,0.1400179,,,,,,2018-09-10,,,,,RT eclosion,h11w41_18,,,A1,,,,,,,,,,,,,,,,
42,white,OG,10.238,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,12:28:36,1.369402,,,,,,2018-09-10,,,,,Simulated Overwintering,h11w42_18,,,B9,,,,,,,,,,,,,,,,
43,white,Ferris,10.393,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,12:29:54,0.1629767,,,,,,2018-09-10,,,,,genetic control,h11w43_18,,,,,,,,,,,,,,,,,,,
44,white,OG,7.257,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,12:31:00,0.165682,,,,,,2018-09-10,,,,,Simulated Overwintering,h11w44_18,,,B10,,,,,,,,,,,,,,,,
45,white,Ferris,7.462,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,12:32:31,0.1706609,,,,,,2018-09-10,,,,,genetic control,h11w45_18,,,,,,,,,,,,,,,,,,,
46,white,blank,,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,12:33:48,1.52E-02,,,,,,2018-09-10,,,,,,,,,,,,,,,,,,,,,,,,,
47,white,blank,,17:04,,2018-08-16,2018-09-05,2018-08-26,11,Apple,6262,12:34:49,1.51E-02,,,,,,2018-09-10,,,,,,,,,,,,,,,,,,,,,,,,,
1,blue,OG,6.499,16:37,,2018-08-16,2018-09-05,2018-08-26,11,Apple,7000,11:18:09,5.13E-02,,,,,,2018-09-10,,,,,genetic control,h11b1_18,,,,,,,,,,,,,,,,,,,
2,blue,Ferris,8.819,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,7000,11:19:13,0.5846571,,,,,,2018-09-10,,,,,RT eclosion,h11b2_18,,,E2,,,,,,,,,,,,,,,,
3,blue,OG,8.146,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,7000,11:20:28,9.71E-02,,,,,,2018-09-10,,,,,Simulated Overwintering,h11b3_18,,,A10,,,,,,,,,,,,,,,,
4,blue,OG,6.747,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,7000,11:21:44,0.6493637,,,,,,2018-09-10,,,,,RT eclosion,h11b4_18,,,H7,,,,,,,,,,,,,,,,
5,blue,OG,8.383,,,2018-08-16,2018-09-05,2018-08-26,11,Apple,7000,11:23:07,1.50685,,,,,,2018-09-10,,,,,RT eclosion,h11b5_18,,,C10,,,,,,,,,,,,,,,,
