uniqueID,eclosion_date,trik_cohort,eclosion_days,well_id,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3,cohort day,host,cohort date
h6b30,10/22/2017,19,10,C3,wasp,29,1,10:16,,,,,,,,,,,,,
4o15,10/23/2017,20,57,A10,fly,29,2,11:00,,,,,,,,,,,,,
5w63,10/23/2017,20,25,B11,fly,9,2,10:56,,,,,,,,,,,,,
5w73,10/23/2017,20,25,C5,fly,11,2,10:58,,,,,,,,,,,,,
14b35,10/23/2017,20,47,C5,fly,24,2,11:00,,,,,,,,,,,,,
19o26,10/23/2017,20,42,B2,fly,23,2,10:59,,,,,,,,,,,,,
4w1,10/24/2017,21,58,A2,fly,,,,,,lost; flew away,,,,,,,,,,
4w56,10/24/2017,21,58,D3,fly,27,2,10:29,10/25/2017,9:54,,,,,,,,,,,
10w54,10/24/2017,21,52,B12,fly,31,2,10:28,,,changed water 2017-10-26 10:59,,,,,,,,,,
10o73,10/25/2017,22,54,F1,fly,3,1,9:49,,,,,,,,,,,,,
12w3,10/25/2017,22,52,A3,fly,32,2,9:49,,,,,,,,,,,,,
12w74,10/25/2017,22,52,D7,fly,23,1,9:50,,,,,,,,,,,,,
19o7,10/25/2017,22,44,B8,fly,1,1,9:52,,,,,,,,,,,,,
3w15,10/26/2017,23,61,A10,fly,27,1,10:18,,,,,,,,,,,,,
4o73,10/26/2017,23,60,E7,fly,15,2,10:18,10/29/2017,9:15,,,,,,,,,,,
13r42,10/26/2017,23,51,C2,fly,18,1,10:19,,,,,,,,,,,,,
16w21,10/26/2017,23,48,B1,fly,2,2,10:19,,,,,,,,,,,,,
14b9,10/27/2017,24,51,A10,fly,5,2,11:52,,,,,,,,,,,,,
2b3,10/28/2017,25,64,A1,fly,8,1,3:34,,,,,,,,,,,,,
2b33,10/28/2017,25,64,A12,fly,9,1,3:34,,,changed water 2017-10-31 11:10 ,,,,,,,,,,
5w42,10/28/2017,25,61,B4,fly,10,2,3:34,,,,,,,,,,,,,
10w15,10/28/2017,25,56,A6,fly,12,2,3:34,,,,,,,,,,,,,
11w26,10/28/2017,25,57,A6,fly,25,2,3:34,,,,,,,,,,,,,
13r56,10/28/2017,25,53,D1,fly,30,2,3:34,,,,,,,,,,,,,
h3o24,10/28/2017,25,19,F10,wasp,4,1,3:34,,,,,,,,,,,,,
h4o2,10/28/2017,25,18,F4,wasp,2,1,3:34,,,,,,,,,,,,,
h7o51,10/28/2017,25,15,A11,wasp,25,1,3:34,,,,,,,,,,,,,
4o55,10/29/2017,26,63,D4,fly,6,2,11:52,,,,,,,,,,,,,
5w25,10/29/2017,26,62,A11,fly,14,2,9:36,,,,,,,,,,,,,
