Ind_ID,tape,Site_name,mass,purge_time,day10,cohort_date,cohort_day,Host
47,blue,Ferris,9.633,13:50,2017-09-04,2017-08-25,2,Apple
48,blue,OG,5.221,13:27,2017-09-04,2017-08-25,2,Apple
49,blue,OG,7.668,13:26,2017-09-04,2017-08-25,2,Apple
50,blue,Blank,,13:05,2017-09-04,2017-08-25,2,Apple
1,red,Ferris,9.945,13:10,2017-09-04,2017-08-25,2,Apple
2,red,OG,6.588,13:10,2017-09-04,2017-08-25,2,Apple
3,red,Ferris,9.354,13:11,2017-09-04,2017-08-25,2,Apple
4,red,OG,14.863,13:06,2017-09-04,2017-08-25,2,Apple
5,red,Ferris,6.768,13:11,2017-09-04,2017-08-25,2,Apple
6,red,OG,5.899,13:08,2017-09-04,2017-08-25,2,Apple
7,red,OG,5.338,13:09,2017-09-04,2017-08-25,2,Apple
8,red,Ferris,7.228,13:12,2017-09-04,2017-08-25,2,Apple
9,red,Ferris,6.611,13:13,2017-09-04,2017-08-25,2,Apple
10,red,OG,7.416,13:13,2017-09-04,2017-08-25,2,Apple
11,red,Ferris,10.783,13:13,2017-09-04,2017-08-25,2,Apple
12,red,OG,8.69,13:07,2017-09-04,2017-08-25,2,Apple
13,red,Ferris,6.265,13:14,2017-09-04,2017-08-25,2,Apple
14,red,Ferris,9.264,13:15,2017-09-04,2017-08-25,2,Apple
15,red,OG,6.767,13:05,2017-09-04,2017-08-25,2,Apple
16,red,Ferris,10.024,13:08,2017-09-04,2017-08-25,2,Apple
17,red,OG,9.136,13:07,2017-09-04,2017-08-25,2,Apple
18,red,OG,4.34,13:37,2017-09-04,2017-08-25,2,Apple
19,red,Ferris,7.72,13:16,2017-09-04,2017-08-25,2,Apple
22,red,OG,8.615,13:18,2017-09-04,2017-08-25,2,Apple
23,red,OG,6.954,12:58,2017-09-04,2017-08-25,2,Apple
24,red,OG,8.167,12:57,2017-09-04,2017-08-25,2,Apple
25,red,OG,9.759,13:21,2017-09-04,2017-08-25,2,Apple
26,red,Milford,12.097,13:17,2017-09-04,2017-08-25,2,Haw
27,red,OG,7.849,13:58,2017-09-04,2017-08-25,2,Apple
28,red,Ferris,7.747,13:18,2017-09-04,2017-08-25,2,Apple
29,red,OG,8.172,12:56,2017-09-04,2017-08-25,2,Apple
30,red,OG,5.043,13:04,2017-09-04,2017-08-25,2,Apple
31,red,Ferris,12.058,13:19,2017-09-04,2017-08-25,2,Apple
32,red,OG,8.97,13:20,2017-09-04,2017-08-25,2,Apple
33,red,Ferris,9.876,13:19,2017-09-04,2017-08-25,2,Apple
34,red,OG,7.887,13:06,2017-09-04,2017-08-25,2,Apple
35,red,Ferris,10.409,13:23,2017-09-04,2017-08-25,2,Apple
36,red,Ferris,10.176,13:23,2017-09-04,2017-08-25,2,Apple
37,red,OG,7.945,12:55,2017-09-04,2017-08-25,2,Apple
38,red,OG,8.005,12:58,2017-09-04,2017-08-25,2,Apple
39,red,Ferris,6.755,13:24,2017-09-04,2017-08-25,2,Apple
40,red,OG,7.602,12:58,2017-09-04,2017-08-25,2,Apple
41,red,Ferris,10.521,13:24,2017-09-04,2017-08-25,2,Apple
45,red,Blank,,13:03,2017-09-04,2017-08-25,2,Apple
47,red,OG,8.376,12:56,2017-09-04,2017-08-25,2,Apple
48,red,Ferris,7.7797,13:25,2017-09-04,2017-08-25,2,Apple
50,red,Blank,,13:03,2017-09-04,2017-08-25,2,Apple
