"","Ind_ID","tape","Site_name","mass","purge_time","day10","cohort_date","cohort_day","Host","rando_assign"
"81",34,"red","OG",7.887,"13:06","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"82",35,"red","Ferris",10.409,"13:23","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"83",36,"red","Ferris",10.176,"13:23","2017-09-04","2017-08-25",2,"Apple","RT eclosion"
"84",37,"red","OG",7.945,"12:55","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"85",38,"red","OG",8.005,"12:58","2017-09-04","2017-08-25",2,"Apple","RT eclosion"
"86",39,"red","Ferris",6.755,"13:24","2017-09-04","2017-08-25",2,"Apple","RT eclosion"
"87",40,"red","OG",7.602,"12:58","2017-09-04","2017-08-25",2,"Apple","genetic control"
"88",41,"red","Ferris",10.521,"13:24","2017-09-04","2017-08-25",2,"Apple","RT eclosion"
"89",45,"red","Blank",NA,"13:03","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"90",47,"red","OG",8.376,"12:56","2017-09-04","2017-08-25",2,"Apple","genetic control"
"91",48,"red","Ferris",7.7797,"13:25","2017-09-04","2017-08-25",2,"Apple","RT eclosion"
"92",50,"red","Blank",NA,"13:03","2017-09-04","2017-08-25",2,"Apple","RT eclosion"
