Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host,uniqueID,rando_assign,wellID
29,white,MSU,9.949,,9/16/18,10/3/18,9/23/18,3,Haw,h3w29_18,genetic control,
30,white,MSU,10.376,,9/16/18,10/3/18,9/23/18,3,Haw,h3w30_18,Simulated Overwintering,F2
31,white,MSU,8.701,,9/16/18,10/3/18,9/23/18,3,Haw,h3w31_18,RT eclosion,B7
32,white,MSU,4.828,,9/16/18,10/3/18,9/23/18,3,Haw,h3w32_18,RT eclosion,H12
33,white,MSU,5.817,,9/16/18,10/3/18,9/23/18,3,Haw,h3w33_18,genetic control,
34,white,MSU,10.479,,9/16/18,10/3/18,9/23/18,3,Haw,h3w34_18,genetic control,
35,white,MSU,7.758,,9/16/18,10/3/18,9/23/18,3,Haw,h3w35_18,genetic control,
36,white,MSU,10.408,,9/16/18,10/3/18,9/23/18,3,Haw,h3w36_18,Simulated Overwintering,G6
37,white,MSU,7.277,,9/16/18,10/3/18,9/23/18,3,Haw,h3w37_18,Simulated Overwintering,H11
38,white,MSU,9.178,,9/16/18,10/3/18,9/23/18,3,Haw,h3w38_18,Simulated Overwintering,C10
39,white,MSU,6.03,,9/16/18,10/3/18,9/23/18,3,Haw,h3w39_18,RT eclosion,D7
40,white,MSU,7.592,,9/16/18,10/3/18,9/23/18,3,Haw,h3w40_18,Simulated Overwintering,H3
41,white,MSU,11.43,,9/16/18,10/3/18,9/23/18,3,Haw,h3w41_18,RT eclosion,G6
42,white,MSU,6.995,,9/16/18,10/3/18,9/23/18,3,Haw,h3w42_18,RT eclosion,C1
43,white,MSU,8.673,,9/16/18,10/3/18,9/23/18,3,Haw,h3w43_18,RT eclosion,C6
44,white,MSU,9.642,,9/16/18,10/3/18,9/23/18,3,Haw,h3w44_18,genetic control,
45,white,MSU,6.944,,9/16/18,10/3/18,9/23/18,3,Haw,h3w45_18,genetic control,
46,white,Blank,NA,,9/16/18,10/3/18,9/23/18,3,Haw,,,
47,white,Blank,NA,13:01,9/16/18,10/3/18,9/23/18,3,Haw,,,
