Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host,uniqueID,rando_assign,wellID
30,blue,Ferris,6.5,,8/16/18,9/5/18,8/26/18,11,Apple,a11b30_18,Simulated Overwintering,E8
31,blue,Ferris,8.146,,8/16/18,9/5/18,8/26/18,11,Apple,a11b31_18,Simulated Overwintering,B5
32,blue,OG,10.167,,8/16/18,9/5/18,8/26/18,11,Apple,a11b32_18,Simulated Overwintering,D11
33,blue,OG,11.027,,8/16/18,9/5/18,8/26/18,11,Apple,a11b33_18,RT eclosion,E1
34,blue,Ferris,5.776,,8/16/18,9/5/18,8/26/18,11,Apple,a11b34_18,RT eclosion,G8
35,blue,OG,5.847,,8/16/18,9/5/18,8/26/18,11,Apple,a11b35_18,Simulated Overwintering,B3
36,blue,Ferris,6.361,,8/16/18,9/5/18,8/26/18,11,Apple,a11b36_18,Simulated Overwintering,D1
37,blue,OG,5.777,,8/16/18,9/5/18,8/26/18,11,Apple,a11b37_18,Simulated Overwintering,H5
38,blue,Ferris,5.282,,8/16/18,9/5/18,8/26/18,11,Apple,a11b38_18,genetic control,
39,blue,OG,6.83,,8/16/18,9/5/18,8/26/18,11,Apple,a11b39_18,RT eclosion,E9
40,blue,OG,7.082,,8/16/18,9/5/18,8/26/18,11,Apple,a11b40_18,Simulated Overwintering,D3
41,blue,Ferris,8.862,,8/16/18,9/5/18,8/26/18,11,Apple,a11b41_18,Simulated Overwintering,E1
42,blue,Ferris,3.017,,8/16/18,9/5/18,8/26/18,11,Apple,a11b42_18,genetic control,
43,blue,OG,10.318,,8/16/18,9/5/18,8/26/18,11,Apple,a11b43_18,genetic control,
44,blue,Ferris,6.198,,8/16/18,9/5/18,8/26/18,11,Apple,a11b44_18,RT eclosion,G4
45,blue,OG,6.546,,8/16/18,9/5/18,8/26/18,11,Apple,a11b45_18,genetic control,
46,blue,blank,NA,,8/16/18,9/5/18,8/26/18,11,Apple,,,
47,blue,blank,NA,16:49,8/16/18,9/5/18,8/26/18,11,Apple,,,
