Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host
3,white,Ferris,4.799,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
4,white,OG,6.883,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
5,white,OG,8.96,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
6,white,OG,9.885,,,2018-08-16,2018-09-18,2018-09-08,24,Apple
7,white,OG,8.605,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
8,white,Ferris,4.582,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
9,white,Ferris,8.575,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
10,white,OG,6.535,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
11,white,OG,7.577,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
12,white,OG,5.979,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
13,white,OG,7.555,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
14,white,OG,3.737,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
15,white,OG,5.43,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
16,white,OG,7.821,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
17,white,OG,8.699,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
18,white,OG,4.478,,,2018-08-16,2018-09-18,2018-09-08,24,Apple
19,white,OG,6.359,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
20,white,OG,10.448,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
21,white,OG,5.295,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
22,white,OG,6.46,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
23,white,OG,7.224,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
24,white,Ferris,8.3,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
25,white,OG,5.115,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
26,white,OG,7.038,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
27,white,OG,8.188,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
28,white,Ferris,5.741,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
29,white,OG,4.89,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
30,white,OG,7.021,,,2018-08-16,2018-09-18,2018-09-08,24,Apple
31,white,OG,4.74,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
32,white,OG,6.154,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
33,white,OG,6.447,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
34,white,OG,7.282,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
35,white,OG,8.028,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
36,white,OG,7.797,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
37,white,OG,5.962,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
38,white,OG,7.143,,,2018-08-16,2018-09-18,2018-09-08,24,Apple
39,white,OG,6.211,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
40,white,OG,5.462,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
41,white,OG,7.185,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
42,white,OG,8.414,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
43,white,OG,8.255,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
44,white,OG,9.675,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
45,white,OG,7.015,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
46,white,blank,,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
47,white,blank,,15:36,,2018-08-29,2018-09-18,2018-09-08,9,Apple
