,Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host,uniqueID,rando_assign,wellID
74,27,red,MSU,6.011,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r27_18,RT eclosion,H9
75,28,red,MSU,8.198,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r28_18,Simulated Overwintering,D1
76,29,red,MSU,7.732,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r29_18,Simulated Overwintering,G5
77,30,red,MSU,9.967,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r30_18,genetic control,
78,31,red,MSU,9.919,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r31_18,genetic control,
79,32,red,MSU,5.977,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r32_18,genetic control,
80,33,red,MSU,10.019,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r33_18,RT eclosion,H4
81,34,red,MSU,7.589,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r34_18,Simulated Overwintering,G1
82,35,red,MSU,7.876,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r35_18,genetic control,
83,36,red,MSU,10.189,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r36_18,RT eclosion,E11
84,37,red,MSU,6.089,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r37_18,genetic control,
85,38,red,MSU,7.241,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r38_18,RT eclosion,C4
86,39,red,MSU,6.512,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r39_18,Simulated Overwintering,H6
87,40,red,MSU,8.924,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r40_18,Simulated Overwintering,G9
88,41,red,MSU,11.125,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r41_18,RT eclosion,D11
89,42,red,MSU,6.681,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r42_18,genetic control,
90,43,red,MSU,6.674,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r43_18,Simulated Overwintering,G8
91,44,red,MSU,8.046,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r44_18,Simulated Overwintering,E3
92,45,red,MSU,6.419,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r45_18,genetic control,
93,46,red,Blank,NA,,9/16/2018,10/4/2018,9/24/2018,4,Haw,,,
94,47,red,Blank,NA,12:49,9/16/2018,10/4/2018,9/24/2018,4,Haw,,,
