N,tape,licor,cohort_day,cohort_date,day7_weight,day8_resp,msmr,CLASS
11,orange,6262,5,9/4/2018,5.087,0.2576257,0.0506439355219186,Diapause
12,orange,6262,5,9/4/2018,5.44,0.9019009,0.165790606617647,Non-diapause
13,orange,6262,5,9/4/2018,7.145,0.8675974,0.121427207837649,Non-diapause
14,orange,6262,5,9/4/2018,3.854,0.1320472,0.0342623767514271,Diapause
15,orange,6262,5,9/4/2018,8.716,1.130556,0.129710417622763,Non-diapause
16,orange,6262,5,9/4/2018,7.16,0.2087429,0.0291540363128492,Diapause
17,orange,6262,5,9/4/2018,6.164,0.2021749,0.0327993024010383,Diapause
18,orange,6262,5,9/4/2018,8.259,0.89929,0.108886063688098,Non-diapause
19,orange,6262,5,9/4/2018,4.393,1.0933,0.24887320737537,Non-diapause
20,orange,6262,5,9/4/2018,4.962,0.1362955,0.0274678557033454,Diapause
21,orange,6262,5,9/4/2018,,0.00337,,
1,red,7000,6,9/5/2018,7.759,0.1748589,0.0225362675602526,Diapause
2,red,7000,6,9/5/2018,7.246,0.2090567,0.0288513248688932,Diapause
3,red,7000,6,9/5/2018,8.151,0.2024793,0.024841037909459,Diapause
4,red,7000,6,9/5/2018,4.842,0.1205624,0.024899297810822,Diapause
5,red,7000,6,9/5/2018,6.652,1.111605,0.1671083884546,Non-diapause
6,red,7000,6,9/5/2018,6.826,0.2034647,0.0298073102842074,Diapause
7,red,7000,6,9/5/2018,8.647,0.2064246,0.0238723950503065,Diapause
8,red,7000,6,9/5/2018,5.577,0.1291235,0.0231528599605523,Diapause
9,red,7000,6,9/5/2018,7.27,0.1696061,0.0233295873452545,Diapause
10,red,7000,6,9/5/2018,9.805,0.2110511,0.0215248444671086,Diapause
11,red,7000,6,9/5/2018,5.118,1.058271,0.206774325908558,Non-diapause
12,red,7000,6,9/5/2018,10.251,0.1924664,0.0187753780119013,Diapause
13,red,7000,6,9/5/2018,8.373,0.2230032,0.0266336080257972,Diapause
