"","Ind_ID","tape","Site_name","mass_day10","purge_time","day10","cohort_date","cohort_day","Host","X","X.1","rando_assign","uniqueID"
"74",74,"white","Ferris",6.441,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5w74"
"75",75,"white","Grant",10.202,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w75"
"76",1,"blue","Ferris",8.15,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b1"
"77",2,"blue","Grant",5.977,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b2"
"78",3,"blue","Ferris",8.514,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b3"
"79",4,"blue","Grant",8.014,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b4"
"80",5,"blue","Ferris",8.886,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b5"
"81",6,"blue","Grant",5.692,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b6"
"82",7,"blue","Ferris",10.886,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b7"
"83",8,"blue","Grant",6.827,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b8"
"84",9,"blue","Ferris",9.582,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b9"
"85",10,"blue","Ferris",7.712,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b10"
"86",11,"blue","Grant",6.028,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b11"
"87",12,"blue","Ferris",6.91,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b12"
"88",13,"blue","Grant",6.713,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b13"
"89",14,"blue","Ferris",6.883,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b14"
"90",15,"blue","Grant",7.791,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b15"
"91",16,"blue","Ferris",9.272,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b16"
"92",17,"blue","Grant",6.319,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b17"
"93",18,"blue","Ferris",4.443,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b18"
"94",19,"blue","Grant",7.822,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b19"
"95",20,"blue","Ferris",8.525,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b20"
"96",21,"blue","Grant",8.795,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b21"
"97",22,"blue","Ferris",13.176,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b22"
"98",23,"blue","Grant",7.643,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b23"
"99",24,"blue","Ferris",9.489,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b24"
