"","Ind_ID","tape","Site_name","mass_day10","purge_time_1","day10","cohort_date","cohort_day","Host","rando_assign","uniqueID"
"89",12,"orange","Ferris",5.145,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o12"
"90",13,"orange","Grant",4.039,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o13"
"91",14,"orange","Ferris",6.445,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o14"
"92",15,"orange","Grant",5.82,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o15"
"93",16,"orange","Ferris",8.522,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o16"
"94",17,"orange","Grant",4.103,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o17"
"95",18,"orange","Grant",9.507,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o18"
"96",19,"orange","Ferris",5.697,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o19"
"97",20,"orange","Grant",6.544,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o20"
"98",21,"orange","Ferris",4.336,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o21"
"99",22,"orange","MSU",6.992,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o22"
"100",23,"orange","Grant",6.12,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o23"
"101",24,"orange","Grant",3.216,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o24"
"102",25,"orange","Ferris",4.065,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o25"
"103",26,"orange","Ferris",7.816,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o26"
"104",27,"orange","Grant",6.91,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o27"
"105",28,"orange","Milford",10.525,"","2017-09-15","2017-09-05",13,"Haw","RT eclosion","13o28"
"106",29,"orange","Grant",10.42,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o29"
"107",30,"orange","Grant",8.623,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o30"
"108",31,"orange","Milford",11.582,"","2017-09-15","2017-09-05",13,"Haw","RT eclosion","13o31"
"109",32,"orange","",NA,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o32"
"110",33,"orange","MSU",10.024,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o33"
"111",34,"orange","Ferris",6.754,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o34"
"112",35,"orange","Grant",6.938,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o35"
"113",36,"orange","Ferris",8.472,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o36"
"114",37,"orange","Grant",4.557,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o37"
"115",38,"orange","Grant",9.628,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o38"
"116",39,"orange","Grant",6.964,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o39"
"117",40,"orange","MSU",9.342,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o40"
"118",41,"orange","Grant",4.689,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o41"
"119",42,"orange","Ferris",6.987,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o42"
"120",43,"orange","Grant",8.71,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o43"
"121",44,"orange","Ferris",7.116,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o44"
"122",45,"orange","Grant",6.883,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o45"
"123",46,"orange","Ferris",9.083,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o46"
"124",47,"orange","Grant",8.997,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o47"
"125",48,"orange","Grant",6.079,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o48"
"126",49,"orange","Ferris",5.357,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o49"
"127",50,"orange","Ferris",7.919,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o50"
"128",51,"orange","Milford",8.275,"","2017-09-15","2017-09-05",13,"Haw","genetic control","13o51"
"129",52,"orange","Grant",7.582,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o52"
"130",53,"orange","Grant",8.477,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o53"
"131",54,"orange","Ferris",7.762,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o54"
"132",55,"orange","Grant",6.036,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o55"
"133",56,"orange","Grant",6.715,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o56"
"134",57,"orange","Ferris",4.239,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o57"
"135",58,"orange","Grant",6.084,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o58"
"136",59,"orange","Grant",7.505,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o59"
"137",60,"orange","Ferris",5.574,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o60"
"138",61,"orange","Blank",NA,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o61"
"139",62,"orange","Grant",5.799,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o62"
"140",63,"orange","Ferris",7.14,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o63"
"141",64,"orange","Blank",NA,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o64"
"142",65,"orange","Grant",8.053,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o65"
"143",66,"orange","Ferris",4.528,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o66"
"144",67,"orange","Grant",9.358,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o67"
"145",68,"orange","Grant",7.654,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o68"
"146",69,"orange","Milford",9.309,"","2017-09-15","2017-09-05",13,"Haw","Simulated Overwintering","13o69"
"147",70,"orange","Grant",6.316,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o70"
"148",71,"orange","Grant",6.906,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o71"
"149",72,"orange","Ferris",8.541,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o72"
"150",73,"orange","Grant",9.311,"","2017-09-15","2017-09-05",13,"Apple","genetic control","13o73"
"151",74,"orange","Milford",9.355,"","2017-09-15","2017-09-05",13,"Haw","RT eclosion","13o74"
"152",75,"orange","Grant",5.144,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o75"
"153",76,"orange","Grant",7.812,"","2017-09-15","2017-09-05",13,"Apple","Simulated Overwintering","13o76"
"154",77,"orange","Ferris",10.108,"","2017-09-15","2017-09-05",13,"Apple","RT eclosion","13o77"
