Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li.cor_1,rando_assign,uniqueID
47,orange,Ferris,6.313,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o47
48,orange,Grant,5.27,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o48
49,orange,Milford,10.347,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o49
50,orange,Ferris,10.6,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o50
51,orange,Grant,6.388,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o51
52,orange,Grant,11.221,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o52
53,orange,Ferris,6.913,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o53
54,orange,Grant,8.465,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o54
55,orange,Grant,5.61,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o55
56,orange,Milford,6.305,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o56
57,orange,Ferris,5.945,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o57
58,orange,Grant,5.246,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o58
59,orange,Ferris,5.868,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o59
60,orange,Milford,7.632,,9/12/17,9/2/17,10,Haw,6262,Simulated Overwintering,10o60
61,orange,Grant,7.432,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o61
62,orange,Ferris,5.905,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o62
63,orange,Ferris,7.104,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o63
64,orange,Milford,11.661,,9/12/17,9/2/17,10,Haw,6262,Simulated Overwintering,10o64
65,orange,Ferris,6.984,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o65
66,orange,Ferris,5.66,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o66
67,orange,Grant,6.214,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o67
68,orange,Milford,10.933,,9/12/17,9/2/17,10,Haw,6262,genetic control,10o68
69,orange,Ferris,5.511,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o69
70,orange,Grant,8.597,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o70
71,orange,Ferris,7.156,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o71
72,orange,Grant,6.371,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o72
73,orange,Grant,5.459,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o73
74,orange,Grant,6.884,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o74
75,orange,Ferris,9.26,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o75
76,orange,Ferris,9.19,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o76
77,orange,Grant,5.398,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o77
78,orange,Blank,NA,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o78
79,orange,Blank,NA,19:49,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o79
