"","read_day","trik_ID","bins","counts","light_status"
"544",1,"t14","14:45",0,1
"545",1,"t14","15:00",3,1
"546",1,"t14","15:15",0,1
"547",1,"t14","15:30",0,1
"548",1,"t14","15:45",3,1
"549",1,"t14","16:00",40,1
"550",1,"t14","16:15",17,1
"551",1,"t14","16:30",19,1
"552",1,"t14","16:45",18,1
"553",1,"t14","17:00",30,1
"554",1,"t14","17:15",1,1
"555",1,"t14","17:30",10,1
"556",1,"t14","17:45",4,1
"557",1,"t14","18:00",18,1
"558",1,"t14","18:15",19,1
"559",1,"t14","18:30",11,1
"560",1,"t14","18:45",4,1
"561",1,"t14","19:00",8,1
"562",1,"t14","19:15",26,1
"563",1,"t14","19:30",14,1
"564",1,"t14","19:45",7,1
"565",1,"t14","20:00",5,0.933333333333333
"566",1,"t14","20:15",0,0
"567",1,"t14","20:30",0,0
"568",1,"t14","20:45",0,0
"569",1,"t14","21:00",0,0
"570",1,"t14","21:15",0,0
"571",1,"t14","21:30",3,0
"572",1,"t14","21:45",0,0
"573",1,"t14","22:00",0,0
"574",1,"t14","22:15",0,0
"575",1,"t14","22:30",3,0
"576",1,"t14","22:45",0,0
"577",1,"t14","23:00",0,0
"578",1,"t14","23:15",0,0
"579",1,"t14","23:30",0,0
"580",1,"t14","23:45",0,0
"581",1,"t14","24:00",0,0
"582",1,"t14",NA,0,0
"583",1,"t15","00:15",0,0
"584",1,"t15","00:30",0,0
"585",1,"t15","00:45",0,0
"586",1,"t15","01:00",0,0
"587",1,"t15","01:15",0,0
"588",1,"t15","01:30",0,0
"589",1,"t15","01:45",0,0
"590",1,"t15","02:00",0,0
"591",1,"t15","02:15",0,0
"592",1,"t15","02:30",0,0
"593",1,"t15","02:45",0,0
"594",1,"t15","03:00",0,0
"595",1,"t15","03:15",0,0
"596",1,"t15","03:30",0,0
"597",1,"t15","03:45",0,0
"598",1,"t15","04:00",0,0
"599",1,"t15","04:15",0,0
"600",1,"t15","04:30",0,0
"601",1,"t15","04:45",0,0
"602",1,"t15","05:00",0,0
"603",1,"t15","05:15",0,0
"604",1,"t15","05:30",0,0
"605",1,"t15","05:45",0,0
"606",1,"t15","06:00",0,0
"607",1,"t15","06:15",0,0.933333333333333
"608",1,"t15","06:30",0,1
"609",1,"t15","06:45",0,1
"610",1,"t15","07:00",0,1
"611",1,"t15","07:15",0,1
"612",1,"t15","07:30",0,1
"613",1,"t15","07:45",0,1
"614",1,"t15","08:00",0,1
"615",1,"t15","08:15",0,1
"616",1,"t15","08:30",0,1
"617",1,"t15","08:45",0,1
"618",1,"t15","09:00",0,1
"619",1,"t15","09:15",3,1
"620",1,"t15","09:30",0,1
"621",1,"t15","09:45",0,1
"622",1,"t15","10:00",0,1
"623",1,"t15","10:15",0,1
"624",1,"t15","10:30",0,1
"625",1,"t15","10:45",0,1
"626",1,"t15","11:00",0,1
"627",1,"t15","11:15",0,1
"628",1,"t15","11:30",0,1
"629",1,"t15","11:45",0,1
"630",1,"t15","12:00",0,1
"631",1,"t15","12:15",0,1
"632",1,"t15","12:30",0,1
"633",1,"t15","12:45",0,1
"634",1,"t15","13:00",0,1
"635",1,"t15","13:15",0,1
"636",1,"t15","13:30",0,1
"637",1,"t15","13:45",0,1
"638",1,"t15","14:00",0,1
"639",1,"t15","14:15",0,1
"640",1,"t15","14:30",0,1
"641",1,"t15","14:45",0,1
"642",1,"t15","15:00",0,1
"643",1,"t15","15:15",0,1
"644",1,"t15","15:30",0,1
"645",1,"t15","15:45",0,1
"646",1,"t15","16:00",0,1
"647",1,"t15","16:15",0,1
"648",1,"t15","16:30",0,1
"649",1,"t15","16:45",0,1
"650",1,"t15","17:00",0,1
"651",1,"t15","17:15",0,1
"652",1,"t15","17:30",0,1
"653",1,"t15","17:45",1,1
"654",1,"t15","18:00",2,1
"655",1,"t15","18:15",0,1
"656",1,"t15","18:30",0,1
"657",1,"t15","18:45",0,1
"658",1,"t15","19:00",0,1
"659",1,"t15","19:15",0,1
"660",1,"t15","19:30",0,1
"661",1,"t15","19:45",0,1
"662",1,"t15","20:00",0,0.933333333333333
"663",1,"t15","20:15",0,0
"664",1,"t15","20:30",0,0
"665",1,"t15","20:45",0,0
"666",1,"t15","21:00",0,0
"667",1,"t15","21:15",0,0
"668",1,"t15","21:30",0,0
"669",1,"t15","21:45",0,0
"670",1,"t15","22:00",0,0
"671",1,"t15","22:15",0,0
"672",1,"t15","22:30",0,0
"673",1,"t15","22:45",0,0
"674",1,"t15","23:00",0,0
"675",1,"t15","23:15",0,0
"676",1,"t15","23:30",0,0
"677",1,"t15","23:45",0,0
"678",1,"t15","24:00",0,0
"679",1,"t15",NA,0,0
"680",1,"t16","00:15",0,0
"681",1,"t16","00:30",0,0
"682",1,"t16","00:45",0,0
"683",1,"t16","01:00",0,0
"684",1,"t16","01:15",0,0
"685",1,"t16","01:30",0,0
"686",1,"t16","01:45",0,0
