uniqueID,experiment,V1,V2,V3,V4
16w1,entrainment,14.4,10.2857142857143,6.54545454545455,5.14285714285714
16w1,free run,21.4285714285714,12,9.23076923076923,6
16w22,entrainment,22.2222222222222,5.88235294117647,5.26315789473684,5.12820512820513
16w22,free run,23.1481481481481,22.7272727272727,11.7924528301887,6.03864734299517
16w25,entrainment,11.3684210526316,8,5.53846153846154,9
16w25,free run,68.1818181818182,125,39.4736842105263,46.875
16w3,entrainment,11.25,7.78846153846154,5.32894736842105,10.6578947368421
16w3,free run,6.02352941176471,6.05917159763314,9.57009345794392,9.06194690265487
16w8,entrainment,11.7647058823529,8,5.88235294117647,6.66666666666667
16w8,free run,5.71428571428571,5.81818181818182,6.27450980392157,8.64864864864865
18b14,entrainment,8.1,9.64285714285714,6.53225806451613,5.95588235294118
18b14,free run,11.0454545454545,36.45,10.935,13.1746987951807
18b28,entrainment,9.5921052631579,5.0625,5.87903225806452,10.7205882352941
18b28,free run,50,40,8.33333333333333,8
18b4,entrainment,6,7.44827586206897,6.75,6.96774193548387
18b4,free run,10.3896103896104,6.25,6.2992125984252,5.83941605839416
18b5,entrainment,11.7647058823529,8,10,7.40740740740741
18b5,free run,10.9213483146067,8.83636363636364,11.3023255813954,27
18w1,entrainment,11.7647058823529,7.69230769230769,6.06060606060606,5.12820512820513
18w1,free run,138.857142857143,108,69.4285714285714,24.3
19o26,entrainment,6,5.14285714285714,5.26829268292683,6.17142857142857
19o26,free run,55.3846153846154,27.6923076923077,21.8181818181818,48
19o7,entrainment,7.2,5.4,5.68421052631579,14.4
19o7,free run,32,35.5555555555556,11.0344827586207,8.64864864864865
20b16,entrainment,8.1,5.95588235294118,5.19230769230769,6.53225806451613
20b16,free run,6.04838709677419,8.08189655172414,21.8023255813953,6.99626865671642
2b18,entrainment,7.5,5.85365853658537,26.6666666666667,6.66666666666667
2b18,free run,21.0526315789474,50,40,28.5714285714286
2b20,entrainment,23.5294117647059,12.1212121212121,6.06060606060606,5.97014925373134
2b20,free run,22.6814516129032,23.4375,6.0614224137931,6.27790178571429
2b23,entrainment,12,8,6.17142857142857,14.4
