read_day,trik_ID,bins,counts,light_status,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_entry_LD_time,trik_cohort,day,time
2,18,4:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,3.75
2,18,4:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,4
2,18,4:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,4.25
2,18,4:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,4.5
2,18,5:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,4.75
2,18,5:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,5
2,18,5:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,5.25
2,18,5:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,5.5
2,18,6:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,5.75
2,18,6:15,19,0.933333333,5w69,9/26/17,32,A7,fly,16:08,1,6,6
2,18,6:30,17,1,5w69,9/26/17,32,A7,fly,16:08,1,6,6.25
2,18,6:45,23,1,5w69,9/26/17,32,A7,fly,16:08,1,6,6.5
2,18,7:00,33,1,5w69,9/26/17,32,A7,fly,16:08,1,6,6.75
2,18,7:15,25,1,5w69,9/26/17,32,A7,fly,16:08,1,6,7
2,18,7:30,9,1,5w69,9/26/17,32,A7,fly,16:08,1,6,7.25
2,18,7:45,28,1,5w69,9/26/17,32,A7,fly,16:08,1,6,7.5
2,18,8:00,55,1,5w69,9/26/17,32,A7,fly,16:08,1,6,7.75
2,18,8:15,5,1,5w69,9/26/17,32,A7,fly,16:08,1,6,8
2,18,8:30,1,1,5w69,9/26/17,32,A7,fly,16:08,1,6,8.25
2,18,8:45,11,1,5w69,9/26/17,32,A7,fly,16:08,1,6,8.5
2,18,9:00,1,1,5w69,9/26/17,32,A7,fly,16:08,1,6,8.75
2,18,9:15,0,1,5w69,9/26/17,32,A7,fly,16:08,1,6,9
2,18,9:30,4,1,5w69,9/26/17,32,A7,fly,16:08,1,6,9.25
2,18,9:45,11,1,5w69,9/26/17,32,A7,fly,16:08,1,6,9.5
2,18,10:00,9,1,5w69,9/26/17,32,A7,fly,16:08,1,6,9.75
2,18,10:15,7,1,5w69,9/26/17,32,A7,fly,16:08,1,6,10
2,18,10:30,19,1,5w69,9/26/17,32,A7,fly,16:08,1,6,10.25
2,18,10:45,21,1,5w69,9/26/17,32,A7,fly,16:08,1,6,10.5
2,18,11:00,13,1,5w69,9/26/17,32,A7,fly,16:08,1,6,10.75
2,18,11:15,14,1,5w69,9/26/17,32,A7,fly,16:08,1,6,11
2,18,11:30,32,1,5w69,9/26/17,32,A7,fly,16:08,1,6,11.25
2,18,11:45,8,1,5w69,9/26/17,32,A7,fly,16:08,1,6,11.5
2,18,12:00,0,1,5w69,9/26/17,32,A7,fly,16:08,1,6,11.75
2,18,12:15,30,1,5w69,9/26/17,32,A7,fly,16:08,1,6,12
2,18,12:30,8,1,5w69,9/26/17,32,A7,fly,16:08,1,6,12.25
2,18,12:45,0,1,5w69,9/26/17,32,A7,fly,16:08,1,6,12.5
2,18,13:00,0,1,5w69,9/26/17,32,A7,fly,16:08,1,6,12.75
2,18,13:15,0,1,5w69,9/26/17,32,A7,fly,16:08,1,6,13
2,18,13:30,0,1,5w69,9/26/17,32,A7,fly,16:08,1,6,13.25
2,18,13:45,10,1,5w69,9/26/17,32,A7,fly,16:08,1,6,13.5
2,18,14:00,7,1,5w69,9/26/17,32,A7,fly,16:08,1,6,13.75
2,18,14:15,37,1,5w69,9/26/17,32,A7,fly,16:08,1,6,14
2,18,14:30,10,1,5w69,9/26/17,32,A7,fly,16:08,1,6,14.25
2,18,14:45,11,1,5w69,9/26/17,32,A7,fly,16:08,1,6,14.5
