Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,treatment_day15,exit_fridge_date,Eclosion_reference_date,notes,Resp_code,treatment,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3,Adult_death_date,Uncaused_death,msmr,dia_class
40,white,Ferris,5.264,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,12:26:23,0.1373938,,,,,,9/10/2018,,,,,genetic control,h11w40_18,,,,,,,,,,,,,,,,,,,,0.026100646,Diapause
41,white,Ferris,4.729,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,12:27:25,0.1400179,,,,,,9/10/2018,,,,,RT eclosion,h11w41_18,,,A1,,,,,,,,,,,,,,,,,0.029608353,Diapause
42,white,OG,10.238,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,12:28:36,1.369402,,,,,,9/10/2018,,,,,Simulated Overwintering,h11w42_18,,,B9,,,,,,,,,,,,,,,,,0.133756788,Non-diapause
43,white,Ferris,10.393,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,12:29:54,0.1629767,,,,,,9/10/2018,,,,,genetic control,h11w43_18,,,,,,,,,,,,,,,,,,,,0.015681391,Diapause
44,white,OG,7.257,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,12:31:00,0.165682,,,,,,9/10/2018,,,,,Simulated Overwintering,h11w44_18,,,B10,,,,,,,,,,,,,,,,,0.022830646,Diapause
45,white,Ferris,7.462,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,12:32:31,0.1706609,,,,,,9/10/2018,,,,,genetic control,h11w45_18,,,,,,,,,,,,,,,,,,,,0.022870665,Diapause
46,white,blank,,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,12:33:48,0.0152,,,,,,9/10/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,white,blank,,17:04,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,12:34:49,0.0151,,,,,,9/10/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,blue,OG,6.499,16:37,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:18:09,0.0513,,,,,,9/10/2018,,,,,genetic control,h11b1_18,,,,,,,,,,,,,,,,,,,,0.007893522,Diapause
2,blue,Ferris,8.819,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:19:13,0.5846571,,,,,,9/10/2018,,,,,RT eclosion,h11b2_18,,,E2,,,,,,,,,,,,,,,,,0.06629517,Non-diapause
3,blue,OG,8.146,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:20:28,0.0971,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b3_18,,,A10,,,,,,,,,,,,,,,,,0.011919961,Diapause
4,blue,OG,6.747,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:21:44,0.6493637,,,,,,9/10/2018,,,,,RT eclosion,h11b4_18,,,H7,,,,,,,,,,,,,,,,,0.096244805,Non-diapause
5,blue,OG,8.383,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:23:07,1.50685,,,,,,9/10/2018,,,,,RT eclosion,h11b5_18,,,C10,,,,,,,,,,,,,,,,,0.179750686,Non-diapause
6,blue,Ferris,11.62,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:24:33,0.1711379,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b6_18,,,D4,,,,,,,,,,,,,,,,,0.014727874,Diapause
7,blue,OG,7.699,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:25:43,0.0969438,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b7_18,,,E6,,,,,,,,,,,,,,,,,0.012591739,Diapause
8,blue,Ferris,5.233,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:26:49,0.4973764,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b8_18,,,H9,,,,,,,,,,,,,,,,,0.09504613,Non-diapause
9,blue,Ferris,8.733,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:28:06,0.0776,,,,,,9/10/2018,,,,,genetic control,h11b9_18,,,,,,,,,,,,,,,,,,,,0.008885835,Diapause
10,blue,OG,9.737,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:29:08,0.0717,,,,,,9/10/2018,,,,,RT eclosion,h11b10_18,,,B12,,,,,,,,,,,,,,,,,0.007363664,Diapause
11,blue,Ferris,15.02,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:30:28,0.4681298,,,,,,9/10/2018,,,,,genetic control,h11b11_18,,,,,,,,,,,,,,,,,,,,0.031167097,Diapause
12,blue,Ferris,9.154,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:31:44,0.1364153,,,,,,9/10/2018,,,,,genetic control,h11b12_18,,,,,,,,,,,,,,,,,,,,0.014902261,Diapause
13,blue,OG,10.824,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:33:05,0.1132746,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b13_18,,,D6,,,,,,,,,,,,,,,,,0.010465133,Diapause
14,blue,OG,7.755,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:34:06,0.8557236,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b14_18,,,G12,,,,,,,,,,,,,,,,,0.110344758,Non-diapause
15,blue,Ferris,9.198,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:35:18,0.1505074,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b15_18,,,A4,,,,,,,,,,,,,,,,,0.016363057,Diapause
16,blue,OG,8.888,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:36:26,0.0599,,,,,,9/10/2018,,,,,genetic control,h11b16_18,,,,,,,,,,,,,,,,,,,,0.006739424,Diapause
17,blue,Ferris,11.338,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:37:27,0.12034,,,,,,9/10/2018,,,,,RT eclosion,h11b17_18,,,D1,,,,,,,,,,,,,,,,,0.010613865,Diapause
18,blue,OG,7.021,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:38:28,0.0803,,,,,,9/10/2018,,,,,RT eclosion,h11b18_18,,,F10,,,,,,,,,,,,,,,,,0.011437117,Diapause
19,blue,Ferris,8.823,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:39:28,0.7018011,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b19_18,,,G1,,,,,,,,,,,,,,,,,0.079542231,Non-diapause
20,blue,OG,10.875,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:40:42,0.9237251,,,,,,9/10/2018,,,,,genetic control,h11b20_18,,,,,,,,,,,,,,,,,,,,0.084940239,Non-diapause
21,blue,OG,8.386,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:41:59,0.7759772,,,,,,9/10/2018,,,,,RT eclosion,h11b21_18,,,B8,,,,,,,,,,,,,,,,,0.092532459,Non-diapause
22,blue,Ferris,9.916,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:43:11,0.1450272,,,,,,9/10/2018,,,,,genetic control,h11b22_18,,,,,,,,,,,,,,,,,,,,0.014625575,Diapause
23,blue,OG,9.961,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:44:16,0.7381048,,,,,,9/10/2018,,,,,RT eclosion,h11b23_18,,,D5,,,,,,,,,,,,,,,,,0.074099468,Non-diapause
24,blue,Ferris,7.047,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:45:28,0.1215401,,,,,,9/10/2018,,,,,genetic control,h11b24_18,,,,,,,,,,,,,,,,,,,,0.01724707,Diapause
25,blue,OG,9.832,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:46:30,0.0775,,,,,,9/10/2018,,,,,genetic control,h11b25_18,,,,,,,,,,,,,,,,,,,,0.007882425,Diapause
26,blue,Ferris,8.186,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:47:34,0.0872,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b26_18,,,C7,,,,,,,,,,,,,,,,,0.010652333,Diapause
27,blue,OG,8.101,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:48:36,0.1196178,,,,,,9/10/2018,,,,,genetic control,h11b27_18,,,,,,,,,,,,,,,,,,,,0.014765807,Diapause
28,blue,OG,10.337,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:49:52,0.1753059,,,,,,9/10/2018,,,,,genetic control,h11b28_18,,,,,,,,,,,,,,,,,,,,0.016959069,Diapause
29,blue,Ferris,6.224,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:51:06,0.097769,,,,,,9/10/2018,,,,,RT eclosion,h11b29_18,,,F6,,,,,,,,,,,,,,,,,0.015708387,Diapause
